CPF,PLACA
25042448466,SAR4D23
56055162611,ETS8F76
58193103421,TBU7E28
48674501861,XRE2B26
94636234620,BYX2749
83603449509,LCS8962
50205745401,VGJ8631
01120038562,QWJ7098
72784534600,BSS9O28
09993945205,HBM1A91
56901360106,MDD9398
72778870815,XOD2A38
68164299616,DDK5394
00498536321,AMO1750
73949274316,VPP5736
67202376623,PZX3505
29127326411,WGF4146
35937968532,HOM3156
58867678489,YAJ2717
87960700399,HVX1E90
09870843234,OPQ5932
95373493013,ALW8H12
25814741376,NUH5373
65091315449,GIK0G28
00531187121,QZY0G58
76601820962,JMZ1P04
99941525316,ACM1588
33265661948,ACU4A94
37380055244,TCR4909
91593733275,ZOS0212
45489044428,QIH1A24
54530714134,QCP9711
72189293433,EKL0D60
27262626914,FVJ7307
44527427506,GXB6815
86124801374,ABX6A99
56951014941,QNB9I92
71406167522,EMR0834
35180625022,LNX5445
62460531753,BZL6608
68156478077,RDR2O59
75766884638,ZZC3144
93407521146,YBW6Y15
82803918831,KKT7280
22265629291,ZNO7080
09930709089,KDR9923
20814456771,HCJ9130
37830213835,KQV1Z90
25362868354,HYR4X69
02247976077,GBJ5Q59
38180062154,NIG9J41
15738771371,JFG2374
79112007818,GUO7239
23958850341,XHP5558
67393074007,THT8504
05804779066,QPY7X04
03354120303,YKN0953
07440987951,KFW4U77
41660025950,XMB1341
92568806898,PMX7977
71881182649,KVK4Z92
04164902917,BCV0Q77
51119928273,KRG7157
80292211425,LNC3A00
44620758463,VZE7060
06880768298,IXP5L41
16499197855,DJV4M62
53765143288,JIN8462
78100235532,CDQ5548
18240481453,SWB5624
73071700135,PNA7978
73888201400,YKU9881
57490429924,PNU5Q80
19029900367,EDB3N24
69135368863,BAZ0508
06783050913,TND6799
11653035376,RSM1L51
89132851534,OBZ5T68
77951175777,SMW5564
98091239202,JVR7K80
17514159056,INB2633
19489519578,WWO9346
12999570168,IAO9593
48259706492,ZBE9R49
48570823755,YMV4L76
12268529631,IOS1L10
23779480065,CZB6762
30136635160,KSG0Y96
71031827012,QYD5322
52574215109,TJX4S69
96808761493,AVU7149
49329345516,MAF7460
09044261787,ALS2010
56279404543,YZD0023
25830082194,RRC7C97
55985991680,SCD7168
10181022633,NGJ3561
80173906823,UAQ7C09
47194044422,ZWK0048
42091777842,JPK0F86
